sample_name	alias	unit_name	platform	datatype
P011	normal	S087	ILLUMINA	dna
P011	tumor	S112	ILLUMINA	dna
P013	normal	D0080	ILLUMINA	dna
P013	tumor	D0037	ILLUMINA	dna
P016	normal	S078	ILLUMINA	dna
P016	tumor	S094	ILLUMINA	dna
P017	normal	S176	ILLUMINA	dna
P017	tumor	S095	ILLUMINA	dna
P018	normal	S081	ILLUMINA	dna
P018	tumor	S039	ILLUMINA	dna
P019	normal	S156	ILLUMINA	dna
P019	tumor	S041	ILLUMINA	dna
P020	normal	S158	ILLUMINA	dna
P020	tumor	S044	ILLUMINA	dna
P022	normal	a0225	ILLUMINA	dna
P022	tumor	S048	ILLUMINA	dna
P023	normal	a0089	ILLUMINA	dna
P023	tumor	a0051	ILLUMINA	dna
P024	normal	435N	ILLUMINA	dna
P024	tumor	435T	ILLUMINA	dna
P026	normal	S090	ILLUMINA	dna
P026	tumor	S059	ILLUMINA	dna
P027	normal	S091	ILLUMINA	dna
P027	tumor	S062	ILLUMINA	dna
P028	normal	438N	ILLUMINA	dna
P028	tumor	438T	ILLUMINA	dna
P029	normal	425N	ILLUMINA	dna
P029	tumor	425T	ILLUMINA	dna
P033	normal	S117	ILLUMINA	dna
P033	tumor	S114	ILLUMINA	dna
P034	normal	S151	ILLUMINA	dna
P034	tumor	S145	ILLUMINA	dna
P035	normal	S157	ILLUMINA	dna
P035	tumor	S146	ILLUMINA	dna
P036	normal	S152	ILLUMINA	dna
P036	tumor	S147	ILLUMINA	dna
P037	normal	S153	ILLUMINA	dna
P037	tumor	S126	ILLUMINA	dna
P038	normal	a0226	ILLUMINA	dna
P038	tumor	S148	ILLUMINA	dna
P041	normal	D0249	ILLUMINA	dna
P041	tumor	D0247	ILLUMINA	dna
P056	normal	a0227	ILLUMINA	dna
P056	tumor	a0195	ILLUMINA	dna
P057	normal	a0228	ILLUMINA	dna
P057	tumor	a0198	ILLUMINA	dna
P058	normal	470N	ILLUMINA	dna
P058	tumor	470T	ILLUMINA	dna
P059	normal	436N	ILLUMINA	dna
P059	tumor	436T	ILLUMINA	dna
P060	normal	a0230	ILLUMINA	dna
P060	tumor	a0205	ILLUMINA	dna
P061	normal	416N	ILLUMINA	dna
P061	tumor	416T	ILLUMINA	dna
P062	normal	420N	ILLUMINA	dna
P062	tumor	420T	ILLUMINA	dna
P064	normal	a0233	ILLUMINA	dna
P064	tumor	a0210	ILLUMINA	dna
P065	normal	a0234	ILLUMINA	dna
P065	tumor	a0211	ILLUMINA	dna
P066	normal	a0235	ILLUMINA	dna
P066	tumor	a0212	ILLUMINA	dna
P086	normal	a0236	ILLUMINA	dna
P086	tumor	a0224	ILLUMINA	dna
P103	normal	D0245	ILLUMINA	dna
P103	tumor	D0243	ILLUMINA	dna
P105	normal	D0252	ILLUMINA	dna
P105	tumor	D0250	ILLUMINA	dna